id,overall,name,position,age,team,nation,edition
1,9095,Lionel Messi,RFRSSTZOM,23,FC Barcelona,Argentinien,fifa_2011
2,8994,Cristiano Ronaldo,RFZOMLFST,25,Real Madrid,Portugal,fifa_2011
3,8992,Casillas,TW,29,Real Madrid,Spanien,fifa_2011
4,8892,David Villa,STMSLFZOM,28,FC Barcelona,Spanien,fifa_2011
5,8891,Wayne Rooney,STMSLFLS,24,Manchester Utd,England,fifa_2011
6,8890,Didier Drogba,STMS,32,Chelsea,Elfenbeinküste,fifa_2011
7,8790,Nemanja Vidić,IVZDM,28,Manchester Utd,Serbien,fifa_2011
8,8788,Diego Forlán,STMSRSRF,31,Atlético Madrid,Uruguay,fifa_2011
9,8788,Júlio César,TW,30,Inter,Brasilien,fifa_2011
10,8790,Puyol,IVRVLV,32,FC Barcelona,Spanien,fifa_2011
11,8790,Xavi,ZMZOMZDM,30,FC Barcelona,Spanien,fifa_2011
12,8789,Arjen Robben,RMLMRFLF,26,Bayern München,Niederlande,fifa_2011
13,8788,Frank Lampard,ZOMZMRMLM,32,Chelsea,England,fifa_2011
14,8790,Iniesta,ZOMZMRFLF,26,FC Barcelona,Spanien,fifa_2011
15,8691,Francesc Fabregas,ZMZOM,23,Arsenal,Spanien,fifa_2011
16,8691,Franck Ribéry,LMLFZOMRF,27,Bayern München,Frankreich,fifa_2011
17,8690,Andrey Arshavin,LFMSZOMRM,29,Arsenal,Russland,fifa_2011
18,8690,Carlos Tévez,MSSTRSLS,26,Manchester City,Argentinien,fifa_2011
19,8687,Diego Milito,STMS,31,Inter,Argentinien,fifa_2011
20,8688,Wesley Sneijder,ZOMZMLMRM,26,Inter,Niederlande,fifa_2011
21,8692,Kaká,ZOMMSLSRS,28,Real Madrid,Brasilien,fifa_2011
22,8688,Maicon,RAVRV,29,Inter,Brasilien,fifa_2011
23,8688,Philipp Lahm,RAVLAVRVLV,26,Bayern München,Deutschland,fifa_2011
24,8691,Fernando Torres,STMS,26,Liverpool,Spanien,fifa_2011
25,8691,Steven Gerrard,ZOMZMRMLM,30,Liverpool,England,fifa_2011
26,8690,John Terry,IVLIB,29,Chelsea,England,fifa_2011
27,8690,Gianluigi Buffon,TW,32,Juventus,Italien,fifa_2011
28,8589,Edin Džeko,ST,24,VfL Wolfsburg,Bosnien-Herzegowina,fifa_2011
29,8590,David Silva,ZOMLMLFMS,24,Manchester City,Spanien,fifa_2011
1,8590,Manuel Neuer,TW,24,FC Schalke 04,Deutschland,fifa_2011
2,8591,Sergio Ramos,RVIVLVZDM,24,Real Madrid,Spanien,fifa_2011
3,8588,Piqué,IVRVZDM,23,FC Barcelona,Spanien,fifa_2011
4,8586,Lisandro López,STMSLSRF,27,Lyon,Argentinien,fifa_2011
5,8590,Giorgio Chiellini,IVLVLAV,26,Juventus,Italien,fifa_2011
6,8587,Bastian Schweinsteiger,ZMRMZDMLM,26,Bayern München,Deutschland,fifa_2011
7,8586,Lúcio,IVLIB,32,Inter,Brasilien,fifa_2011
8,8586,Valdés,TW,28,FC Barcelona,Spanien,fifa_2011
9,8589,Michaël Essien,ZMZDMIVRM,27,Chelsea,Ghana,fifa_2011
10,8587,Xabi Alonso,ZMZDM,28,Real Madrid,Spanien,fifa_2011
11,8591,Zlatan Ibrahimović,STMS,28,AC Mailand,Schweden,fifa_2011
12,8586,Pepe Reina,TW,28,Liverpool,Spanien,fifa_2011
13,8587,Walter Samuel,IVLIBLV,32,Inter,Argentinien,fifa_2011
14,8590,Robin van Persie,MSSTRFLF,27,Arsenal,Niederlande,fifa_2011
15,8589,Rio Ferdinand,IVZDMLIB,31,Manchester Utd,England,fifa_2011
16,8589,Nicolas Anelka,STRSLSRF,31,Chelsea,Frankreich,fifa_2011
17,8492,Hugo Lloris,TW,23,Lyon,Frankreich,fifa_2011
18,8490,Samir Nasri,ZOMZMRFRM,23,Arsenal,Frankreich,fifa_2011
19,8490,Sergio Agüero,MSST,22,Atlético Madrid,Argentinien,fifa_2011
20,8491,Igor Akinfeev,TW,24,ZSKA Moskau,Russland,fifa_2011
21,8492,Jesús Navas,RMRFZOMMS,24,Sevilla F.C.,Spanien,fifa_2011
22,8490,Dani Alves,RAVRVRM,27,FC Barcelona,Brasilien,fifa_2011
23,8488,Javier Mascherano,ZDMZMRV,26,FC Barcelona,Argentinien,fifa_2011
24,8487,Esteban Cambiasso,ZDMZMLMIV,30,Inter,Argentinien,fifa_2011
25,8486,Luís Fabiano,STRSLSMS,29,Sevilla F.C.,Brasilien,fifa_2011
26,8488,René Adler,TW,25,Bay. Leverkusen,Deutschland,fifa_2011
27,8488,Pepe,IVLIBZDM,27,Real Madrid,Portugal,fifa_2011
28,8486,Antonio Di Natale,LSRSSTLF,32,Udinese,Italien,fifa_2011
29,8487,Kolo Touré,IVRVZDM,29,Manchester City,Elfenbeinküste,fifa_2011
1,8490,Petr Čech,TW,28,Chelsea,Tschechische Repub.,fifa_2011
