id,overall,name,position,age,team,nation,edition
1,9095,Lionel Messi,RFL,22,F.C. Barcelona,Argentinien,fifa_2010
2,9092,Casillas,TW,28,Real Madrid C.F.,Spanien,fifa_2010
3,8990,JÃºlio CÃ©sar,TW,29,Inter,Brasilien,fifa_2010
4,8994,Cristiano Ronaldo,RFL,24,Real Madrid C.F.,Portugal,fifa_2010
5,8892,Franck RibÃ©ry,LM,26,Bayern MÃ¼nchen,Frankreich,fifa_2010
6,8890,Nemanja VidiÄ,IV,27,Manchester United,Serbien,fifa_2010
7,8892,KakÃ¡,ZOM,27,Real Madrid C.F.,Brasilien,fifa_2010
8,8891,Fernando Torres,ST,25,Liverpool,Spanien,fifa_2010
9,8891,Zlatan IbrahimoviÄ,ST,27,F.C. Barcelona,Schweden,fifa_2010
10,8891,Steven Gerrard,ZOM,29,Liverpool,England,fifa_2010
11,8890,Puyol,IV,31,F.C. Barcelona,Spanien,fifa_2010
12,8892,Gianluigi Buffon,TW,31,Juventus,Italien,fifa_2010
13,8791,Francesc Fabregas,ZM,22,Arsenal,Spanien,fifa_2010
14,8790,Diego,ZOM,24,Juventus,Brasilien,fifa_2010
15,8792,David Villa,ST,27,Valencia C.F.,Spanien,fifa_2010
16,8791,Wayne Rooney,MS,23,Manchester United,England,fifa_2010
17,8790,John Terry,IV,28,Chelsea,England,fifa_2010
18,8790,Xavi,ZM,29,F.C. Barcelona,Spanien,fifa_2010
19,8788,Frank Lampard,ZOM,31,Chelsea,England,fifa_2010
20,8790,AndrÃ©s Iniesta,ZOM,25,F.C. Barcelona,Spanien,fifa_2010
21,8690,David Silva,LM,23,Valencia C.F.,Spanien,fifa_2010
22,8690,Dani Alves,RAV,26,F.C. Barcelona,Brasilien,fifa_2010
23,8690,Giorgio Chiellini,IV,25,Juventus,Italien,fifa_2010
24,8688,Esteban Cambiasso,ZDM,29,Inter,Argentinien,fifa_2010
25,8688,Maicon,RAV,28,Inter,Brasilien,fifa_2010
26,8689,Philipp Lahm,RAV,25,Bayern MÃ¼nchen,Deutschland,fifa_2010
27,8687,Diego ForlÃ¡n,ST,30,AtlÃ©tico de Madrid,Uruguay,fifa_2010
28,8689,MichaÃ«l Essien,ZM,26,Chelsea,Ghana,fifa_2010
29,8690,Samuel Eto'o,ST,28,Inter,Kamerun,fifa_2010
30,8689,Antonio Cassano,MS,27,Sampdoria,Italien,fifa_2010
1,8689,Rio Ferdinand,IV,30,Manchester United,England,fifa_2010
2,8689,Sebastien Frey,TW,29,Fiorentina,Frankreich,fifa_2010
3,8692,Francesco Totti,MS,32,Roma,Italien,fifa_2010
4,8690,Alessandro Del Piero,MS,34,Juventus,Italien,fifa_2010
5,8591,Karim Benzema,ST,21,Real Madrid C.F.,Frankreich,fifa_2010
6,8586,Robert Enke,TW,32,Hannover 96,Deutschland,fifa_2010
7,8591,Sergio Ramos,RV,23,Real Madrid C.F.,Spanien,fifa_2010
8,8592,Yoann Gourcuff,ZOM,23,Girondins de Bordeaux,Frankreich,fifa_2010
9,8590,Mario Gomez,ST,24,Bayern MÃ¼nchen,Deutschland,fifa_2010
10,8590,Igor Akinfeev,TW,23,CSKA Moskva,Russland,fifa_2010
11,8591,Andrey Arshavin,MS,28,Arsenal,Russland,fifa_2010
12,8590,Carlos TÃ©vez,MS,25,Manchester City,Argentinien,fifa_2010
13,8588,Javier Mascherano,ZDM,25,Liverpool,Argentinien,fifa_2010
14,8586,Diego Milito,ST,30,Inter,Argentinien,fifa_2010
15,8586,LuÃ­s Fabiano,ST,28,Sevilla F.C.,Brasilien,fifa_2010
16,8590,Robinho,LFL,25,Manchester City,Brasilien,fifa_2010
17,8586,Antonio Di Natale,LA,31,Udinese,Italien,fifa_2010
18,8587,Kolo TourÃ©,IV,28,Manchester City,ElfenbeinkÃ¼ste,fifa_2010
19,8588,LÃºcio,IV,31,Inter,Brasilien,fifa_2010
20,8589,Daniele De Rossi,ZDM,26,Roma,Italien,fifa_2010
21,8590,Petr Äech,TW,27,Chelsea,Tschechische Repub.,fifa_2010
22,8590,Didier Drogba,ST,31,Chelsea,ElfenbeinkÃ¼ste,fifa_2010
23,8587,Dimitar Berbatov,ST,28,Manchester United,Bulgarien,fifa_2010
24,8586,Walter Samuel,IV,31,Inter,Argentinien,fifa_2010
25,8591,Juan RomÃ¡n Riquelme,ZOM,31,Boca Juniors,Argentinien,fifa_2010
26,8588,Arjen Robben,LM,25,Bayern MÃ¼nchen,Niederlande,fifa_2010
27,8590,Robin van Persie,MS,26,Arsenal,Niederlande,fifa_2010
28,8589,Andrea Pirlo,ZM,30,Milan,Italien,fifa_2010
29,8589,Nicolas Anelka,ST,30,Chelsea,Frankreich,fifa_2010
30,8586,Jamie Carragher,IV,31,Liverpool,England,fifa_2010
1,8591,Thierry Henry,LA,32,F.C. Barcelona,Frankreich,fifa_2010
2,8489,Andrei Murgu,MS,30,Fiorentina,RumÃ¤nien,fifa_2010
3,8492,Alexandre Pato,MS,19,Milan,Brasilien,fifa_2010
4,8491,Mauro MatÃ­as ZÃ¡rate,RA,22,Lazio,Argentinien,fifa_2010
5,8490,Sergio AgÃ¼ero,MS,21,AtlÃ©tico de Madrid,Argentinien,fifa_2010
6,8487,Ashley Young,LFL,24,Aston Villa,England,fifa_2010
7,8487,Amauri,ST,29,Juventus,Brasilien,fifa_2010
8,8485,Diego LÃ³pez,TW,27,Villarreal C.F.,Spanien,fifa_2010
9,8486,Lucho GonzÃ¡lez,ZM,28,Olympique de Marseille,Argentinien,fifa_2010
10,8488,RenÃ© Adler,TW,24,Bayer 04 Leverkusen,Deutschland,fifa_2010
11,8485,Anatoliy Tymoschuk,ZDM,30,Bayern MÃ¼nchen,Ukraine,fifa_2010
12,8488,Pepe,IV,26,Real Madrid C.F.,Portugal,fifa_2010
13,8485,Maximiliano RodrÃ­guez,RM,28,AtlÃ©tico de Madrid,Argentinien,fifa_2010
14,8486,Per Mertesacker,IV,24,Werder Bremen,Deutschland,fifa_2010
15,8489,Emmanuel Adebayor,ST,25,Manchester City,Togo,fifa_2010
16,8486,Patrice Evra,LAV,28,Manchester United,Frankreich,fifa_2010
17,8487,Juan,IV,30,Roma,Brasilien,fifa_2010
18,8488,Mauro German Camoranesi,RM,32,Juventus,Italien,fifa_2010
19,8487,Xabi Alonso,ZM,27,Real Madrid C.F.,Spanien,fifa_2010
20,8487,Philippe MexÃ¨s,IV,27,Roma,Frankreich,fifa_2010
21,8486,ZÃ© Roberto,ZDM,35,Hamburger SV,Brasilien,fifa_2010
22,8493,Ronaldinho,LA,29,Milan,Brasilien,fifa_2010
23,8487,Rafael MÃ¡rquez,IV,30,F.C. Barcelona,Mexiko,fifa_2010
24,8486,Pepe Reina,TW,27,Liverpool,Spanien,fifa_2010
25,8486,Michael Carrick,ZM,28,Manchester United,England,fifa_2010
26,8486,Miroslav Klose,ST,31,Bayern MÃ¼nchen,Deutschland,fifa_2010
27,8486,William Gallas,IV,32,Arsenal,Frankreich,fifa_2010
28,8489,Alberto Gilardino,ST,27,Fiorentina,Italien,fifa_2010
29,8486,SimÃ£o,LFL,29,AtlÃ©tico de Madrid,Portugal,fifa_2010
30,8488,Michael Ballack,ZM,32,Chelsea,Deutschland,fifa_2010
1,8487,Ricardo Carvalho,IV,31,Chelsea,Portugal,fifa_2010
2,8485,Shay Given,TW,33,Manchester City,Republik Irland,fifa_2010
3,8489,Alessandro Nesta,IV,33,Milan,Italien,fifa_2010
4,8488,Javier Zanetti,RAV,36,Inter,Argentinien,fifa_2010
5,8485,FrÃ©dÃ©ric KanoutÃ©,ST,31,Sevilla F.C.,Mali,fifa_2010
6,8488,Paul Scholes,ZM,34,Manchester United,England,fifa_2010
7,8389,Hulk,MS,23,FC Porto,Brasilien,fifa_2010
8,8389,Edin DÅ¾eko,ST,23,VfL Wolfsburg,Bosnien-Herzegowina,fifa_2010
9,8386,Naldo,IV,26,Werder Bremen,Brasilien,fifa_2010
10,8392,Hugo Lloris,TW,22,Olympique Lyonnais,Frankreich,fifa_2010
11,8390,Manuel Neuer,TW,23,FC Schalke 04,Deutschland,fifa_2010
12,8390,Samir Nasri,ZOM,22,Arsenal,Frankreich,fifa_2010
13,8388,Steve Mandanda,TW,24,Olympique de Marseille,Frankreich,fifa_2010
14,8390,StÃ©phane SessÃ¨gnon,ZOM,25,Paris Saint-Germain,Benin,fifa_2010
15,8385,Bacary Sagna,RV,26,Arsenal,Frankreich,fifa_2010
16,8386,Giuseppe Rossi,MS,22,Villarreal C.F.,Italien,fifa_2010
17,8388,Fabio Quagliarella,MS,26,Napoli,Italien,fifa_2010
18,8388,RaÃºl Albiol,IV,23,Real Madrid C.F.,Spanien,fifa_2010
19,8390,Yuriy Zhirkov,LM,26,Chelsea,Russland,fifa_2010
20,8385,Grafite,ST,30,VfL Wolfsburg,Brasilien,fifa_2010
21,8387,GaÃ«l Clichy,LAV,24,Arsenal,Frankreich,fifa_2010
22,8386,Vyacheslav Malafeev,TW,30,Zenit St. Petersburg,Russland,fifa_2010
23,8392,JesÃºs Navas,RM,23,Sevilla F.C.,Spanien,fifa_2010
24,8389,Servet Ãetin,IV,28,Galatasaray SK,TÃ¼rkei,fifa_2010
25,8385,Lisandro LÃ³pez,ST,26,Olympique Lyonnais,Argentinien,fifa_2010
26,8387,Wesley Sneijder,ZOM,25,Inter,Niederlande,fifa_2010
27,8388,Bruno Alves,IV,27,FC Porto,Portugal,fifa_2010
28,8386,Marcos Senna,ZM,33,Villarreal C.F.,Spanien,fifa_2010
29,8388,JÃ©rÃ©my Toulalan,ZDM,25,Olympique Lyonnais,Frankreich,fifa_2010
30,8386,Mirko VuÄiniÄ,ST,25,Roma,Montenegro,fifa_2010
1,8385,ValdÃ©s,TW,27,F.C. Barcelona,Spanien,fifa_2010
2,8386,Gaetano D'Agostino,ZM,27,Udinese,Italien,fifa_2010
3,8385,Zvjezdan MisimoviÄ,ZOM,27,VfL Wolfsburg,Bosnien-Herzegowina,fifa_2010
4,8386,Tim Wiese,TW,27,Werder Bremen,Deutschland,fifa_2010
5,8389,Edwin van der Sar,TW,38,Manchester United,Niederlande,fifa_2010
6,8386,Brede Hangeland,IV,28,Fulham,Norwegen,fifa_2010
7,8390,Rafael van der Vaart,ZOM,26,Real Madrid C.F.,Niederlande,fifa_2010
8,8385,Mikel Arteta,ZOM,27,Everton,Spanien,fifa_2010
9,8388,Mamadou Niang,ST,29,Olympique de Marseille,Senegal,fifa_2010
10,8387,Ashley Cole,LAV,28,Chelsea,England,fifa_2010
11,8385,John Carew,ST,29,Aston Villa,Norwegen,fifa_2010
12,8386,Vincenzo Iaquinta,ST,29,Juventus,Italien,fifa_2010
13,8387,Yaya Gnegneri TourÃ©,ZDM,26,F.C. Barcelona,ElfenbeinkÃ¼ste,fifa_2010
14,8386,IvÃ¡n CÃ³rdoba,IV,33,Inter,Kolumbien,fifa_2010
15,8386,Tim Howard,TW,30,Everton,USA,fifa_2010
16,8385,Dirk Kuyt,ST,29,Liverpool,Niederlande,fifa_2010
17,8385,Gareth Barry,ZDM,28,Manchester City,England,fifa_2010
18,8389,Cristian Eugen Chivu,IV,28,Inter,RumÃ¤nien,fifa_2010
19,8389,Gennaro Ivan Gattuso,ZDM,31,Milan,Italien,fifa_2010
20,8390,Fabio Cannavaro,IV,35,Juventus,Italien,fifa_2010
21,8388,Ryan Giggs,LM,35,Manchester United,Wales,fifa_2010
22,8387,Joe Cole,RM,27,Chelsea,England,fifa_2010
23,8288,Mata,LFL,21,Valencia C.F.,Spanien,fifa_2010
24,8287,Eduardo,ST,26,Arsenal,Kroatien,fifa_2010
25,8290,Luka ModriÄ,ZOM,23,Tottenham Hotspur,Kroatien,fifa_2010
26,8288,Luis SuÃ¡rez,MS,22,Ajax,Uruguay,fifa_2010
27,8287,Gonzalo HiguaÃ­n,ST,21,Real Madrid C.F.,Argentinien,fifa_2010
28,8286,Martin Å krtel,IV,24,Liverpool,Slowakei,fifa_2010
29,8287,Gabriel Agbonlahor,ST,22,Aston Villa,England,fifa_2010
30,8284,JosuÃ©,ZDM,30,VfL Wolfsburg,Brasilien,fifa_2010
