age,id,name,nation,overall,position,potential,team
32,20801,Cristiano Ronaldo,Portugal,94,LF ST,94,Real Madrid
30,158023,Lionel Messi,Argentinien,93,RF,93,FC Barcelona
25,190871,Neymar,Brasilien,92,LF,94,FC Barcelona
30,176580,Luis Suárez,Uruguay,92,ST,92,FC Barcelona
31,167495,Manuel Neuer,Deutschland,92,TW,92,FC Bayern
26,193080,De Gea,Spanien,90,TW,92,Manchester Utd
29,188545,Robert Lewandowski,Polen,90,ST,90,FC Bayern
28,173731,Gareth Bale,Wales,90,RF,90,Real Madrid
35,41236,Zlatan Ibrahimović,Schweden,90,ST,90,Manchester Utd
25,192119,Thibaut Courtois,Belgien,89,TW,92,FC Chelsea
29,183907,Jérôme Boateng,Deutschland,89,IV,89,FC Bayern
26,183277,Eden Hazard,Belgien,89,LF LM,90,FC Chelsea
32,177003,Luka Modrić,Kroatien,89,ZM ZDM,89,Real Madrid
28,176635,Mesut Özil,Deutschland,89,ZOM LF,89,FC Arsenal
29,167664,Gonzalo Higuaín,Argentinien,89,ST,89,Juventus Turin
32,164240,Thiago Silva,Brasilien,89,IV,89,PSG
31,155862,Sergio Ramos,Spanien,89,IV,89,Real Madrid
29,153079,Sergio Agüero,Argentinien,89,ST,89,Manchester City
24,195864,Paul Pogba,Frankreich,88,ZM ZDM ZOM,94,Manchester Utd
26,194765,Antoine Griezmann,Frankreich,88,ST RF LF,91,Atlético Madrid
26,192985,Kevin De Bruyne,Belgien,88,ZOM ZM RM LM,91,Manchester City
28,188350,Marco Reus,Deutschland,88,LM ZOM ST,88,Dortmund
28,184941,Alexis Sánchez,Chile,88,ST LM RM,88,FC Arsenal
27,182521,Toni Kroos,Deutschland,88,ZM ZDM,89,Real Madrid
31,182493,Diego Godín,Uruguay,88,IV,88,Atlético Madrid
28,178603,Mats Hummels,Deutschland,88,IV,88,FC Bayern
30,167948,Hugo Lloris,Frankreich,88,TW,88,Tottenham Hotspur
33,138956,Giorgio Chiellini,Italien,88,IV,88,Juventus Turin
34,120533,Pepe,Portugal,88,IV,88,Real Madrid
35,48940,Petr Čech,Tschechische Repub.,88,TW,88,FC Arsenal
39,1179,Gianluigi Buffon,Italien,88,TW,88,Juventus Turin
33,41,Iniesta,Spanien,88,ZM,88,FC Barcelona
24,200389,Jan Oblak,Slowenien,87,TW,91,Atlético Madrid
26,198710,James Rodríguez,Kolumbien,87,ZOM ZM RM,90,Real Madrid
28,188567,Pierre-Emerick Aubameyang,Gabun,87,ST,87,Dortmund
30,184344,Leonardo Bonucci,Italien,87,IV,87,Juventus Turin
30,181872,Arturo Vidal,Chile,87,ZM ZDM,87,FC Bayern
29,168651,Ivan Rakitić,Kroatien,87,ZM,87,FC Barcelona
31,168542,David Silva,Spanien,87,ZOM ZM LM,87,Manchester City
33,162835,Samir Handanovič,Slowenien,87,TW,87,Inter Mailand
30,152729,Piqué,Spanien,87,IV,87,FC Barcelona
33,9014,Arjen Robben,Niederlande,87,RM RF,87,FC Bayern
23,211110,Paulo Dybala,Argentinien,86,ST ZOM,93,Juventus Turin
24,199556,Marco Verratti,Italien,86,ZM ZDM,90,PSG
25,197445,David Alaba,Österreich,86,LV IV ZM,89,FC Bayern
28,192883,Henrikh Mkhitaryan,Armenien,86,RM LM ZOM,86,Manchester Utd
25,192563,Bernd Leno,Deutschland,86,TW,89,Bayer 04
25,190460,Christian Eriksen,Dänemark,86,ZOM RM LM,90,Tottenham Hotspur
28,189596,Thomas Müller,Deutschland,86,MS RF ZOM ST,86,FC Bayern
29,189511,Sergio Busquets,Spanien,86,ZDM ZM,86,FC Barcelona
26,189509,Thiago,Spanien,86,ZM ZOM ZDM LM,88,FC Bayern
28,189332,Jordi Alba,Spanien,86,LV,86,FC Barcelona
25,189242,Coutinho,Brasilien,86,LF LM ZOM,89,FC Liverpool
29,183898,Ángel Di María,Argentinien,86,RF ZM ZOM,86,PSG
28,179844,Diego Costa,Spanien,86,ST,86,FC Chelsea
30,179813,Edinson Cavani,Uruguay,86,ST,86,PSG
29,178518,Radja Nainggolan,Belgien,86,ZM ZOM,86,AS Rom
29,176676,Marcelo,Brasilien,86,LV,86,Real Madrid
31,173210,Claudio Marchisio,Italien,86,ZM ZDM,86,Juventus Turin
30,171877,Marek Hamšik,Slowakei,86,ZM,86,SSC Neapel
33,168609,Miranda,Brasilien,86,L IV,86,Inter Mailand
29,165153,Karim Benzema,Frankreich,86,ST,86,Real Madrid
30,162895,Cesc Fàbregas,Spanien,86,ZM ZDM ZOM,86,FC Chelsea
