age,id,name,nation,overall,position,potential,team
28,158023,Lionel Messi,Argentinien,93,MS RF,93,FC Barcelona
30,20801,Cristiano Ronaldo,Portugal,92,LF ST,92,Real Madrid
29,167495,Manuel Neuer,Deutschland,90,TW,90,FC Bayern
31,9014,Arjen Robben,Niederlande,90,RM LM RF,90,FC Bayern
28,176580,Luis Suárez,Uruguay,89,ST MS RF,89,FC Barcelona
33,41236,Zlatan Ibrahimović,Schweden,89,ST,89,PSG
31,41,Iniesta,Spanien,89,ZM,89,FC Barcelona
24,183277,Eden Hazard,Belgien,88,LM,90,Chelsea
32,156616,Franck Ribéry,Frankreich,88,LM,88,FC Bayern
31,121944,Bastian Schweinsteiger,Deutschland,88,ZM ZDM,88,FC Bayern
27,188545,Robert Lewandowski,Polen,87,ST LF,89,FC Bayern
27,183907,Jérôme Boateng,Deutschland,87,IV RV,89,FC Bayern
30,177003,Luka Modrić,Kroatien,87,ZM,87,Real Madrid
26,173731,Gareth Bale,Wales,87,RF RM,91,Real Madrid
29,168542,David Silva,Spanien,87,ZOM LM,87,Manchester City
30,164240,Thiago Silva,Brasilien,87,IV,87,PSG
29,155862,Sergio Ramos,Spanien,87,IV,87,Real Madrid
27,153079,Sergio Agüero,Argentinien,87,ST,89,Manchester City
31,121939,Philipp Lahm,Deutschland,87,ZDM RV ZM,87,FC Bayern
24,198710,James Rodríguez,Kolumbien,86,ZOM RM ZM,92,Real Madrid
24,193080,De Gea,Spanien,86,TW,89,Manchester Utd
23,192119,Thibaut Courtois,Belgien,86,TW,90,Chelsea
23,190871,Neymar,Brasilien,86,LF,91,FC Barcelona
25,189596,Thomas Müller,Deutschland,86,MS RM ZOM ST,88,FC Bayern
26,188350,Marco Reus,Deutschland,86,LM ZOM,88,Bor. Dortmund
26,178603,Mats Hummels,Deutschland,86,IV,88,Bor. Dortmund
26,176635,Mesut Özil,Deutschland,86,ZOM LF,87,Arsenal
29,167397,Falcao,Kolumbien,86,ST,86,Manchester Utd
29,139720,Vincent Kompany,Belgien,86,IV,86,Manchester City
29,54050,Wayne Rooney,England,86,ST ZM ZOM,86,Manchester Utd
35,10535,Xavi,Spanien,86,ZM,86,FC Barcelona
24,192985,Kevin De Bruyne,Belgien,85,ZOM LM RM,88,VfL Wolfsburg
23,192318,Mario Götze,Deutschland,85,ZOM LM ZM,90,FC Bayern
27,189511,Sergio Busquets,Spanien,85,ZDM,88,FC Barcelona
26,184941,Alexis Sánchez,Chile,85,RF LF,87,Arsenal
27,183898,Ángel Di María,Argentinien,85,ZOM ZM RM,85,Manchester Utd
25,182521,Toni Kroos,Deutschland,85,ZM ZDM,88,Real Madrid
28,181872,Arturo Vidal,Chile,85,ZM ZDM ZOM,87,Juventus
26,179844,Diego Costa,Spanien,85,ST,86,Chelsea
28,179813,Edinson Cavani,Uruguay,85,ST LF RF,85,PSG
27,178088,Juan Mata,Spanien,85,ZOM RM,85,Manchester Utd
28,167948,Hugo Lloris,Frankreich,85,TW,85,Spurs
27,165153,Karim Benzema,Frankreich,85,ST,87,Real Madrid
28,162895,Cesc Fàbregas,Spanien,85,ZM ZOM,85,Chelsea
30,146562,Santi Cazorla,Spanien,85,ZOM ZM LM,85,Arsenal
31,143001,Carlos Tévez,Argentinien,85,ST MS,85,Boca Juniors
33,48940,Petr Čech,Tschechische Repub.,85,TW,85,Chelsea
33,45197,Xabi Alonso,Spanien,85,ZDM ZM,85,FC Bayern
32,20289,Yaya Touré,Elfenbeinküste,85,ZM ZDM,85,Manchester City
32,7826,Robin van Persie,Niederlande,85,ST,85,Manchester Utd
22,195864,Paul Pogba,Frankreich,84,ZM,91,Juventus
24,188152,Oscar,Brasilien,84,ZOM RM,88,Chelsea
29,182493,Diego Godín,Uruguay,84,IV,84,Atlético Madrid
28,179846,Sami Khedira,Deutschland,84,ZDM ZM,86,Real Madrid
27,177610,Javi Martinez,Spanien,84,IV ZDM ZM,85,FC Bayern
28,177509,Medhi Benatia,Marokko,84,IV,86,FC Bayern
27,167664,Gonzalo Higuaín,Argentinien,84,ST,86,Napoli
28,165239,Samir Nasri,Frankreich,84,LM RM,84,Manchester City
28,152729,Piqué,Spanien,84,IV,87,FC Barcelona
28,143745,Arda Turan,Türkei,84,RM LM,87,Atlético Madrid
28,158023,Lionel Messi,Argentinien,93,MS RF,93,FC Barcelona
30,20801,Cristiano Ronaldo,Portugal,92,LF ST,92,Real Madrid
29,167495,Manuel Neuer,Deutschland,90,TW,90,FC Bayern
31,9014,Arjen Robben,Niederlande,90,RM LM RF,90,FC Bayern
28,176580,Luis Suárez,Uruguay,89,ST MS RF,89,FC Barcelona
33,41236,Zlatan Ibrahimović,Schweden,89,ST,89,PSG
31,41,Iniesta,Spanien,89,ZM,89,FC Barcelona
24,183277,Eden Hazard,Belgien,88,LM,90,Chelsea
32,156616,Franck Ribéry,Frankreich,88,LM,88,FC Bayern
31,121944,Bastian Schweinsteiger,Deutschland,88,ZM ZDM,88,FC Bayern
27,188545,Robert Lewandowski,Polen,87,ST LF,89,FC Bayern
27,183907,Jérôme Boateng,Deutschland,87,IV RV,89,FC Bayern
30,177003,Luka Modrić,Kroatien,87,ZM,87,Real Madrid
26,173731,Gareth Bale,Wales,87,RF RM,91,Real Madrid
29,168542,David Silva,Spanien,87,ZOM LM,87,Manchester City
30,164240,Thiago Silva,Brasilien,87,IV,87,PSG
29,155862,Sergio Ramos,Spanien,87,IV,87,Real Madrid
27,153079,Sergio Agüero,Argentinien,87,ST,89,Manchester City
31,121939,Philipp Lahm,Deutschland,87,ZDM RV ZM,87,FC Bayern
