id,overall,name,position,age,team,nation,edition
1,9496,Lionel Messi,MSSTRF,24,FC Barcelona,Argentinien,fifa_2012
2,9294,Cristiano Ronaldo,LFRFLMST,26,Real Madrid,Portugal,fifa_2012
3,9292,Xavi,ZMZOMZDM,31,FC Barcelona,Spanien,fifa_2012
4,9193,Iniesta,ZOMZMRFLF,27,FC Barcelona,Spanien,fifa_2012
5,9092,Wayne Rooney,STMSLF,25,Manchester Utd,England,fifa_2012
6,9091,Arjen Robben,RMLMRFLF,27,Bayern München,Niederlande,fifa_2012
7,8991,Nemanja Vidić,IV,29,Manchester Utd,Serbien,fifa_2012
8,8992,Casillas,TW,30,Real Madrid,Spanien,fifa_2012
9,8889,Luka Modrić,ZOMZMLMRM,25,Tottenham,Kroatien,fifa_2012
10,8890,Cesc Fàbregas,ZOMZMZDM,24,FC Barcelona,Spanien,fifa_2012
11,8889,Franck Ribéry,LMRFRM,28,Bayern München,Frankreich,fifa_2012
12,8891,Piqué,IVRVZDM,24,FC Barcelona,Spanien,fifa_2012
13,8889,Carlos Tévez,STMSZOM,27,Manchester City,Argentinien,fifa_2012
14,8890,Wesley Sneijder,ZOMZMRMLM,27,Inter,Niederlande,fifa_2012
15,8888,David Villa,LFSTRFMS,29,FC Barcelona,Spanien,fifa_2012
16,8888,Zlatan Ibrahimović,STMS,29,Milan,Schweden,fifa_2012
17,8888,Samuel Eto'o,STLFRF,30,A Machatschkala,Kamerun,fifa_2012
18,8791,David Silva,ZOMLMLFMS,25,Manchester City,Spanien,fifa_2012
19,8789,Thiago Silva,IVZDM,26,Milan,Brasilien,fifa_2012
20,8788,Bastian Schweinsteiger,ZMRMZDMLM,27,Bayern München,Deutschland,fifa_2012
21,8788,Philipp Lahm,RVLV,27,Bayern München,Deutschland,fifa_2012
22,8788,Rafael van der Vaart,ZOMMSZM,28,Tottenham,Niederlande,fifa_2012
23,8787,Steven Gerrard,ZOMZMRMLM,31,Liverpool,England,fifa_2012
1,8687,Falcao,STMS,25,Atlético Madrid,Kolumbien,fifa_2012
2,8689,Samir Nasri,ZOMLFRF,24,Manchester City,Frankreich,fifa_2012
3,8688,Sergio Agüero,STMS,23,Manchester City,Argentinien,fifa_2012
4,8687,Mario Gomez,STMS,26,Bayern München,Deutschland,fifa_2012
5,8688,Dani Alves,RVRM,28,FC Barcelona,Brasilien,fifa_2012
6,8687,Javier Mascherano,ZDMIVZM,27,FC Barcelona,Argentinien,fifa_2012
7,8686,Antonio Di Natale,STMSLFRF,33,Udinese,Italien,fifa_2012
8,8687,Fernando Torres,STMS,27,Chelsea,Spanien,fifa_2012
9,8687,Xabi Alonso,ZMZDM,29,Real Madrid,Spanien,fifa_2012
10,8686,Didier Drogba,STMS,33,Chelsea,Elfenbeinküste,fifa_2012
11,8686,John Terry,IV,30,Chelsea,England,fifa_2012
12,8686,Puyol,IVRV,33,FC Barcelona,Spanien,fifa_2012
13,8686,Robin van Persie,STMSRFLF,28,Arsenal,Niederlande,fifa_2012
14,8589,Pedro,LFRF,24,FC Barcelona,Spanien,fifa_2012
15,8587,Hulk,RFSTMSLF,25,FC Porto,Brasilien,fifa_2012
16,8589,Eden Hazard,LFRFMSRM,20,LOSC Lille,Belgien,fifa_2012
17,8590,Alexandre Pato,STMS,21,Milan,Brasilien,fifa_2012
18,8586,Mata,LFLMZOM,23,Chelsea,Spanien,fifa_2012
19,8588,Luis Suárez,MSSTRFLF,24,Liverpool,Uruguay,fifa_2012
20,8588,Nuri Şahin,ZMZDM,22,Real Madrid,Türkei,fifa_2012
21,8591,Hugo Lloris,TW,24,Olympique Lyon,Frankreich,fifa_2012
22,8587,Gonzalo Higuaín,STMSZOM,23,Real Madrid,Argentinien,fifa_2012
23,8587,Giuseppe Rossi,MSSTZOMLF,24,Villarreal CF,Italien,fifa_2012
1,8586,Pepe,IVZDM,28,Real Madrid,Portugal,fifa_2012
2,8586,Reyes,RFLFMSRM,28,Atlético Madrid,Spanien,fifa_2012
3,8585,Lúcio,IV,33,Inter,Brasilien,fifa_2012
4,8587,Valdés,TW,29,FC Barcelona,Spanien,fifa_2012
5,8585,Patrice Evra,LVLM,30,Manchester Utd,Frankreich,fifa_2012
6,8586,Petr Čech,TW,29,Chelsea,Tschechische Repub.,fifa_2012
7,8586,Júlio César,TW,31,Inter,Brasilien,fifa_2012
8,8585,Ashley Cole,LV,30,Chelsea,England,fifa_2012
9,8585,Walter Samuel,IVLV,33,Inter,Argentinien,fifa_2012
10,8587,Yaya Touré,ZMZDMZOM,28,Manchester City,Elfenbeinküste,fifa_2012
11,8587,Maarten Stekelenburg,TW,28,Roma,Niederlande,fifa_2012
12,8586,Gianluigi Buffon,TW,33,Juventus,Italien,fifa_2012
13,8585,Alessandro Nesta,IV,35,Milan,Italien,fifa_2012
14,8489,Mario Götze,ZOMLMRM,19,Bor. Dortmund,Deutschland,fifa_2012
15,8491,Neymar,MSSTLF,19,Santos,Brasilien,fifa_2012
16,8486,Ángel Di María,RFLFRMLM,23,Real Madrid,Argentinien,fifa_2012
17,8486,Edin Džeko,ST,25,Manchester City,Bosnien-Herzegowina,fifa_2012
18,8486,Hernanes,ZOMZMZDMRM,26,Lazio,Brasilien,fifa_2012
19,8488,Mats Hummels,IVZDM,22,Bor. Dortmund,Deutschland,fifa_2012
20,8487,Marek Hamšik,ZOMMSZM,24,Napoli,Slowakei,fifa_2012
21,8487,Gervinho,RFLFST,24,Arsenal,Elfenbeinküste,fifa_2012
22,8487,Karim Benzema,ST,23,Real Madrid,Frankreich,fifa_2012
23,8488,Steve Mandanda,TW,26,Marseille,Frankreich,fifa_2012
1,8484,Lisandro López,STMSZOMLF,28,Olympique Lyon,Argentinien,fifa_2012
2,8489,Vincent Kompany,IVZDMZM,25,Manchester City,Belgien,fifa_2012
3,8487,Giorgio Chiellini,IVLV,27,Juventus,Italien,fifa_2012
4,8486,Robinho,MSZOMRFLF,27,Milan,Brasilien,fifa_2012
5,8486,René Adler,TW,26,Bay. Leverkusen,Deutschland,fifa_2012
6,8484,Diego Forlán,STMSRF,32,Inter,Uruguay,fifa_2012
7,8485,Michaël Essien,ZMZDM,28,Chelsea,Ghana,fifa_2012
8,8484,Florent Malouda,LFLM,31,Chelsea,Frankreich,fifa_2012
9,8484,Ronaldinho,ZOMLFMS,31,Flamengo,Brasilien,fifa_2012
10,8486,Pepe Reina,TW,29,Liverpool,Spanien,fifa_2012
11,8487,Danny,ZOMLMMSZM,28,Zenit,Portugal,fifa_2012
12,8484,Ricardo Carvalho,IV,33,Real Madrid,Portugal,fifa_2012
13,8389,Javier Pastore,ZOMMSZM,22,PSG,Argentinien,fifa_2012
14,8385,Thomas Müller,MSSTZOMRM,21,Bayern München,Deutschland,fifa_2012
15,8385,Sergio Busquets,ZDMZMZOMRM,23,FC Barcelona,Spanien,fifa_2012
16,8387,Ganso,ZOMZMMS,21,Santos,Brasilien,fifa_2012
17,8385,Lucas Barrios,ST,26,Bor. Dortmund,Paraguay,fifa_2012
