age,id,name,nation,overall,position,potential,team
26,158023,Lionel Messi,Argentinien,94,MS ST RF,97,FC Barcelona
28,20801,Cristiano Ronaldo,Portugal,92,LF LM ST RM,95,Real Madrid
27,167397,Falcao,Kolumbien,90,ST,92,Atlético Madrid
30,156616,Franck Ribéry,Frankreich,90,LM RM,90,FC Bayern
33,10535,Xavi,Spanien,90,ZM ZOM,90,FC Barcelona
29,41,Iniesta,Spanien,90,ZM LF ZOM,92,FC Barcelona
31,41236,Zlatan Ibrahimović,Schweden,89,ST,89,PSG
30,7826,Robin van Persie,Niederlande,89,ST MS,89,Manchester Utd
27,168542,David Silva,Spanien,88,ZOM RM LM,90,Manchester City
32,5479,Casillas,Spanien,88,TW,89,Real Madrid
26,179813,Edinson Cavani,Uruguay,87,ST,89,Napoli
24,176635,Mesut Özil,Deutschland,87,ZOM LM RM ZM,90,Real Madrid
25,153079,Sergio Agüero,Argentinien,87,ST MS ZOM,89,Manchester City
31,140601,Nemanja Vidić,Serbien,87,IV,87,Manchester Utd
29,121944,Bastian Schweinsteiger,Deutschland,87,ZM ZDM RM LM,88,FC Bayern
29,121939,Philipp Lahm,Deutschland,87,RV LV,87,FC Bayern
27,54050,Wayne Rooney,England,87,MS ST ZOM,87,Manchester Utd
29,9014,Arjen Robben,Niederlande,87,RM LM RF LF,87,FC Bayern
34,7763,Andrea Pirlo,Italien,87,ZM ZDM ZOM,87,Juventus
35,1179,Gianluigi Buffon,Italien,87,TW,87,Juventus
25,183898,Ángel Di María,Argentinien,86,RM LM,88,Real Madrid
25,178088,Juan Mata,Spanien,86,ZOM LM RM,88,Chelsea
26,176580,Luis Suárez,Uruguay,86,MS ST,87,Liverpool
24,173731,Gareth Bale,Wales,86,MS LF,91,Spurs
27,167495,Manuel Neuer,Deutschland,86,TW,91,FC Bayern
28,164240,Thiago Silva,Brasilien,86,IV,88,PSG
26,162895,Cesc Fàbregas,Spanien,86,ZM ZOM ZDM MS,88,FC Barcelona
27,155862,Sergio Ramos,Spanien,86,IV RV,88,Real Madrid
26,152729,Piqué,Spanien,86,IV,88,FC Barcelona
28,150418,Mario Gomez,Deutschland,86,ST,86,FC Bayern
29,143001,Carlos Tévez,Argentinien,86,ST MS ZOM,86,Manchester City
29,139869,Wesley Sneijder,Niederlande,86,ZOM ZM LM RM,86,Galatasaray SK
27,139720,Vincent Kompany,Belgien,86,IV,88,Manchester City
31,45197,Xabi Alonso,Spanien,86,ZM ZDM,86,Real Madrid
30,20289,Yaya Touré,Elfenbeinküste,86,ZDM ZM ZOM,86,Manchester City
21,192318,Mario Götze,Deutschland,85,ZOM LM RM ZM,92,Bor. Dortmund
25,189511,Sergio Busquets,Spanien,85,ZDM ZM,87,FC Barcelona
25,188545,Robert Lewandowski,Polen,85,ST MS,88,Bor. Dortmund
22,183277,Eden Hazard,Belgien,85,LM ZOM RM,90,Chelsea
26,181872,Arturo Vidal,Chile,85,ZM ZDM ZOM,88,Juventus
24,178603,Mats Hummels,Deutschland,85,IV ZDM,88,Bor. Dortmund
27,173210,Claudio Marchisio,Italien,85,ZM ZDM,88,Juventus
26,171877,Marek Hamšik,Slowakei,85,ZOM ZM,88,Napoli
