id,overall,name,position,age,team,nation,edition
1,9293,Wayne Rooney,ST,20,Manchester United,England,fifa_2007
2,9293,Gianluigi Buffon,TW,28,Juventus,Italien,fifa_2007
3,9195,Ronaldinho,ZOM,26,F.C. Barcelona,Brasilien,fifa_2007
4,9193,GrÃ©gory Coupet,TW,33,Olympique Lyonnais,Frankreich,fifa_2007
5,9192,Alessandro Nesta,IV,30,AC Milan,Italien,fifa_2007
6,9090,John Terry,IV,25,Chelsea,England,fifa_2007
7,9093,Thierry Henry,ST,29,Arsenal,Frankreich,fifa_2007
8,9092,Fabio Cannavaro,IV,32,Real Madrid C.F.,Italien,fifa_2007
9,8992,Cris,IV,29,Olympique Lyonnais,Brasilien,fifa_2007
10,8992,Petr Cech,TW,24,Chelsea,Tschechische Repub.,fifa_2007
11,8990,ZÃ© Roberto,LFL,32,Brazil,Brasilien,fifa_2007
12,8990,Luca Toni,ST,29,Fiorentina,Italien,fifa_2007
13,8992,David Trezeguet,ST,28,Juventus,Frankreich,fifa_2007
14,8992,Casillas,TW,25,Real Madrid C.F.,Spanien,fifa_2007
15,8992,Frank Lampard,ZM,28,Chelsea,England,fifa_2007
16,8992,Francesco Totti,ZOM,29,AS Roma,Italien,fifa_2007
17,8893,David Villa,ST,24,Valencia,Spanien,fifa_2007
18,8892,Juninho,ZOM,31,Olympique Lyonnais,Brasilien,fifa_2007
19,8891,LÃºcio,IV,28,Bayern Munich,Brasilien,fifa_2007
20,8891,Adriano,ST,24,Inter Milan,Brasilien,fifa_2007
21,8892,Juan RomÃ¡n Riquelme,ZOM,28,Villarreal,Argentinien,fifa_2007
22,8891,Andriy Shevchenko,ST,29,Chelsea,Ukraine,fifa_2007
23,8890,Puyol,IV,28,F.C. Barcelona,Spanien,fifa_2007
24,8890,Eto'o,ST,25,F.C. Barcelona,Kamerun,fifa_2007
25,8891,HernÃ¡n Crespo,ST,31,Inter Milan,Argentinien,fifa_2007
26,8889,CaÃ±izares,TW,36,Valencia,Spanien,fifa_2007
27,8889,Dida,TW,32,AC Milan,Brasilien,fifa_2007
28,8791,KakÃ¡,ZOM,24,AC Milan,Brasilien,fifa_2007
29,8789,Vicente,LFL,25,Valencia,Spanien,fifa_2007
30,8789,Edwin Van der Sar,TW,35,Manchester United,Niederlande,fifa_2007
1,8791,JoaquÃ­n,RFL,25,Valencia,Spanien,fifa_2007
2,8792,Cristiano Ronaldo,RFL,21,Manchester United,Portugal,fifa_2007
3,8791,Steven Gerrard,ZM,26,Liverpool,England,fifa_2007
4,8790,Arjen Robben,LFL,22,Chelsea,Niederlande,fifa_2007
5,8789,Rio Ferdinand,IV,27,Manchester United,England,fifa_2007
6,8791,Pavel Nedved,ZOM,33,Juventus,Tschechische Repub.,fifa_2007
7,8788,Philip Cocu,ZM,35,PSV Eindhoven,Niederlande,fifa_2007
8,8792,Figo,RFL,33,Inter Milan,Portugal,fifa_2007
9,8789,Bernd Schneider,RM,32,Bayer Leverkusen,Deutschland,fifa_2007
10,8791,Michael Ballack,ZM,29,Chelsea,Deutschland,fifa_2007
11,8788,Lilian Thuram,IV,34,F.C. Barcelona,Frankreich,fifa_2007
12,8791,Alessandro Del Piero,MS,31,Juventus,Italien,fifa_2007
13,8789,Jens Lehmann,TW,36,Arsenal,Deutschland,fifa_2007
14,8793,Oliver Kahn,TW,37,Bayern Munich,Deutschland,fifa_2007
15,8692,Lukas Podolski,MS,21,Bayern Munich,Deutschland,fifa_2007
16,8690,Igor Akinfeev,TW,20,Russia,Russland,fifa_2007
17,8688,Farid MondragÃ³n,TW,35,Galatasaray SK,Kolumbien,fifa_2007
18,8690,Carlos Tevez,LA,22,Corinthians,Argentinien,fifa_2007
19,8694,Robinho,ST,22,Real Madrid C.F.,Brasilien,fifa_2007
20,8688,Alex,IV,24,PSV Eindhoven,Brasilien,fifa_2007
21,8687,Marcelinho,ZOM,31,Trabzonspor,Brasilien,fifa_2007
22,8690,Deco,ZOM,28,F.C. Barcelona,Brasilien,fifa_2007
23,8692,Mahamadou Diarra,ZDM,25,Real Madrid C.F.,Mali,fifa_2007
24,8692,Fernando Torres,ST,22,AtlÃ©tico Madrid,Spanien,fifa_2007
25,8691,MichaÃ«l Essien,ZM,23,Chelsea,Ghana,fifa_2007
26,8692,Rafael van der Vaart,ZOM,23,Hamburger Sport Verein,Niederlande,fifa_2007
27,8691,Zlatan Ibrahimovic,ST,24,Inter Milan,Schweden,fifa_2007
28,8691,Christoph Metzelder,IV,25,Borussia Dortmund,Deutschland,fifa_2007
29,8688,Rafael MÃ¡rquez,IV,27,F.C. Barcelona,Mexiko,fifa_2007
30,8689,Marcelo JosÃ© Bordon,IV,30,FC Schalke 04,Brasilien,fifa_2007
1,8687,RogÃ©rio Ceni,TW,33,SÃ£o Paulo,Brasilien,fifa_2007
2,8689,Daniel Van Buyten,IV,28,Bayern Munich,Belgien,fifa_2007
3,8691,Miroslav Klose,ST,28,SV Werder Bremen,Deutschland,fifa_2007
4,8691,Roy Makaay,ST,31,Bayern Munich,Niederlande,fifa_2007
5,8690,Ruud van Nistelrooy,ST,30,Real Madrid C.F.,Niederlande,fifa_2007
6,8691,Andrea Pirlo,ZM,27,AC Milan,Italien,fifa_2007
7,8686,Eidur Gudjohnsen,MS,27,F.C. Barcelona,Island,fifa_2007
8,8688,Torsten Frings,ZDM,29,SV Werder Bremen,Deutschland,fifa_2007
9,8689,Gianluca Zambrotta,RV,29,F.C. Barcelona,Italien,fifa_2007
10,8687,Alvaro Recoba,MS,30,Inter Milan,Uruguay,fifa_2007
11,8686,Ludovic Giuly,ZOM,30,F.C. Barcelona,Frankreich,fifa_2007
12,8685,Javier Zanetti,RAV,33,Inter Milan,Argentinien,fifa_2007
13,8688,Robbie Keane,ST,26,Tottenham Hotspur,Republik Irland,fifa_2007
14,8689,David Beckham,RM,31,Real Madrid C.F.,England,fifa_2007
15,8689,Paul Scholes,ZOM,31,Manchester United,England,fifa_2007
16,8693,Joe Cole,LM,24,Chelsea,England,fifa_2007
17,8590,Francesc Fabregas,ZM,19,Arsenal,Spanien,fifa_2007
18,8592,Franck RibÃ©ry,ZOM,23,Marseille,Frankreich,fifa_2007
19,8590,Luis Oscar GonzÃ¡lez,ZM,25,F.C. Porto,Argentinien,fifa_2007
20,8592,Vincent Kompany,IV,20,Hamburger Sport Verein,Belgien,fifa_2007
21,8589,Alex,ZOM,28,FenerbahÃ§e SK,Brasilien,fifa_2007
