id,overall,name,position,age,team,nation,edition
1,9193,Ronaldinho,ZOM,27,F.C. Barcelona,Brasilien,fifa_2008
2,9194,Cristiano Ronaldo,RFL,22,Manchester United,Portugal,fifa_2008
3,9193,Gianluigi Buffon,TW,29,Juventus,Italien,fifa_2008
4,9091,KakÃ¡,ZOM,25,AC Milan,Brasilien,fifa_2008
5,9091,Wayne Rooney,MS,21,Manchester United,England,fifa_2008
6,9091,John Terry,IV,26,Chelsea FC,England,fifa_2008
7,9091,Thierry Henry,ST,30,F.C. Barcelona,Frankreich,fifa_2008
8,9092,Alessandro Nesta,IV,31,AC Milan,Italien,fifa_2008
9,8990,Hans de Noteboom,ST,31,Holland,Niederlande,fifa_2008
10,8991,Petr Cech,TW,25,Chelsea FC,Tschechische Repub.,fifa_2008
11,8990,Samuel Eto'o,ST,26,F.C. Barcelona,Kamerun,fifa_2008
12,8890,Diego,ZOM,22,SV Werder Bremen,Brasilien,fifa_2008
13,8889,Cris,IV,30,Olympique Lyonnais,Brasilien,fifa_2008
14,8893,David Villa,ST,25,Valencia C.F.,Spanien,fifa_2008
15,8889,MichaÃ«l Essien,ZM,24,Chelsea FC,Ghana,fifa_2008
16,8888,ZÃ© Roberto,LM,33,Bayern Munich,Brasilien,fifa_2008
17,8887,Marcelo JosÃ© Bordon,IV,31,FC Schalke 04,Brasilien,fifa_2008
18,8890,Steven Gerrard,ZM,27,Liverpool,England,fifa_2008
19,8890,Puyol,IV,29,F.C. Barcelona,Spanien,fifa_2008
20,8891,Andrea Pirlo,ZM,28,AC Milan,Italien,fifa_2008
21,8889,David Trezeguet,ST,29,Juventus,Frankreich,fifa_2008
22,8892,Casillas,TW,26,Real Madrid C.F.,Spanien,fifa_2008
23,8788,Marco Materazzi,IV,34,Inter Milan,Italien,fifa_2008
24,8790,Bert Ronhaar,LFL,23,Holland,Niederlande,fifa_2008
25,8789,Arie de Baer,TW,37,Holland,Niederlande,fifa_2008
26,8791,Franck RibÃ©ry,RM,24,Bayern Munich,Frankreich,fifa_2008
27,8790,Carlos Tevez,MS,23,Manchester United,Argentinien,fifa_2008
28,8788,LÃºcio,IV,29,Bayern Munich,Brasilien,fifa_2008
29,8789,Per Mertesacker,IV,22,SV Werder Bremen,Deutschland,fifa_2008
30,8788,Florent Malouda,LFL,27,Chelsea FC,Frankreich,fifa_2008
1,8791,JoaquÃ­n,RFL,26,Valencia C.F.,Spanien,fifa_2008
2,8790,Didier Drogba,ST,29,Chelsea FC,ElfenbeinkÃ¼ste,fifa_2008
3,8791,Juan RomÃ¡n Riquelme,ZOM,29,Villarreal C.F.,Argentinien,fifa_2008
4,8789,Rio Ferdinand,IV,28,Manchester United,England,fifa_2008
5,8789,Jamie Carragher,IV,29,Liverpool,England,fifa_2008
6,8789,Bernd Schneider,RM,33,Bayer Leverkusen,Deutschland,fifa_2008
7,8792,Francesco Totti,MS,30,AS Roma,Italien,fifa_2008
8,8693,Lionel Messi,RA,20,F.C. Barcelona,Argentinien,fifa_2008
9,8692,Sergio Ramos,RV,21,Real Madrid C.F.,Spanien,fifa_2008
10,8689,Gabriel Milito,IV,26,F.C. Barcelona,Argentinien,fifa_2008
11,8690,Robinho,LA,23,Real Madrid C.F.,Brasilien,fifa_2008
12,8687,Alex,IV,25,Chelsea FC,Brasilien,fifa_2008
13,8686,Scott Brown,ZM,22,Celtic,Schottland,fifa_2008
14,8687,Kolo TourÃ©,IV,26,Arsenal FC,ElfenbeinkÃ¼ste,fifa_2008
15,8691,Vicente,LFL,26,Valencia C.F.,Spanien,fifa_2008
16,8690,Adriano,ST,25,Inter Milan,Brasilien,fifa_2008
17,8690,Fernando Torres,ST,23,Liverpool,Spanien,fifa_2008
18,8691,Zlatan Ibrahimovic,ST,25,Inter Milan,Schweden,fifa_2008
19,8689,Luca Toni,ST,30,Bayern Munich,Italien,fifa_2008
20,8690,Miroslav Klose,ST,29,Bayern Munich,Deutschland,fifa_2008
21,8692,Figo,RFL,34,Inter Milan,Portugal,fifa_2008
22,8688,Torsten Frings,ZDM,30,SV Werder Bremen,Deutschland,fifa_2008
23,8687,Ricardo Carvalho,IV,29,Chelsea FC,Portugal,fifa_2008
24,8690,Alessandro Del Piero,MS,32,Juventus,Italien,fifa_2008
25,8685,Javier Zanetti,RAV,34,Inter Milan,Argentinien,fifa_2008
26,8690,Oliver Kahn,TW,38,Bayern Munich,Deutschland,fifa_2008
27,8689,Ryan Giggs,LM,33,Manchester United,Wales,fifa_2008
28,8591,Joep Maatje,ST,32,Holland,Niederlande,fifa_2008
29,8586,Steven Naismith,MS,20,Kilmarnock,Schottland,fifa_2008
30,8589,Francesc Fabregas,ZM,20,Arsenal FC,Spanien,fifa_2008
1,8588,De la PeÃ±a,ZM,31,R.C.D. Espanyol,Spanien,fifa_2008
2,8592,JesÃºs Navas,RFL,21,Sevilla F.C.,Spanien,fifa_2008
3,8586,Luis Oscar GonzÃ¡lez,ZM,26,F.C. Porto,Argentinien,fifa_2008
4,8588,Nemanja Vidic,IV,25,Manchester United,Serbien,fifa_2008
5,8585,Benni McCarthy,ST,29,Blackburn Rovers,SÃ¼dafrika,fifa_2008
6,8590,Deco,ZOM,29,F.C. Barcelona,Brasilien,fifa_2008
7,8585,Darren Bent,ST,23,Tottenham Hotspur,England,fifa_2008
8,8587,Kris Boyd,ST,24,Rangers,Schottland,fifa_2008
9,8587,Fernando Meira,IV,29,VfB Stuttgart,Portugal,fifa_2008
10,8584,Morten Gamst Pedersen,LM,26,Blackburn Rovers,Norwegen,fifa_2008
11,8590,Rafael van der Vaart,ZOM,24,Hamburg SV,Niederlande,fifa_2008
12,8584,Mauro Camoranesi,RM,30,Juventus,Italien,fifa_2008
13,8587,Dimitar Berbatov,ST,26,Tottenham Hotspur,Bulgarien,fifa_2008
14,8587,Shunsuke Nakamura,ZOM,29,Celtic,Japan,fifa_2008
15,8586,Jan Vennegoor of H.,ST,28,Celtic,Niederlande,fifa_2008
16,8587,Rafael MÃ¡rquez,IV,28,F.C. Barcelona,Mexiko,fifa_2008
17,8589,Mario Yepes,IV,31,Paris Saint-Germain,Kolumbien,fifa_2008
18,8587,Walter AdriÃ¡n Samuel,IV,29,Inter Milan,Argentinien,fifa_2008
19,8590,Quaresma,RFL,23,F.C. Porto,Portugal,fifa_2008
20,8588,Xavi,ZM,27,F.C. Barcelona,Spanien,fifa_2008
21,8586,Arjen Robben,LFL,23,Real Madrid C.F.,Niederlande,fifa_2008
22,8588,TomÃ¡s Rosicky,ZOM,26,Arsenal FC,Tschechische Repub.,fifa_2008
23,8590,Palop,TW,33,Sevilla F.C.,Spanien,fifa_2008
24,8588,Robin Van Persie,MS,24,Arsenal FC,Niederlande,fifa_2008
25,8586,Kakhaber Kaladze,IV,29,AC Milan,Georgien,fifa_2008
26,8586,William Gallas,IV,30,Arsenal FC,Frankreich,fifa_2008
27,8588,Alberto Gilardino,ST,25,AC Milan,Italien,fifa_2008
28,8588,Frank Lampard,ZOM,29,Chelsea FC,England,fifa_2008
29,8587,Johan Elmander,MS,26,Toulouse F.C.,Schweden,fifa_2008
30,8590,Patrick Vieira,ZDM,31,Inter Milan,Frankreich,fifa_2008
1,8592,Fabio Cannavaro,IV,33,Real Madrid C.F.,Italien,fifa_2008
2,8584,JÃ©rÃ´me Rothen,LFL,29,Paris Saint-Germain,Frankreich,fifa_2008
3,8587,Joe Cole,RFL,25,Chelsea FC,England,fifa_2008
4,8492,Michelangelo van der Poel,ZOM,23,Holland,Niederlande,fifa_2008
5,8492,Silva,LM,21,Valencia C.F.,Spanien,fifa_2008
6,8490,Samir Nasri,ZOM,20,Marseille,Frankreich,fifa_2008
7,8486,Stephen McManus,IV,24,Celtic,Schottland,fifa_2008
8,8490,Igor Akinfeev,TW,21,Russia,Russland,fifa_2008
9,8491,Daniel Alves,RV,24,Sevilla F.C.,Brasilien,fifa_2008
10,8484,Diego Alberto Milito,MS,28,Real Zaragoza,Argentinien,fifa_2008
11,8486,Luis Fabiano,ST,26,Sevilla F.C.,Brasilien,fifa_2008
12,8488,Pauleta,ST,34,Paris Saint-Germain,Portugal,fifa_2008
13,8489,John Mensah,IV,29,Stade Rennais,Ghana,fifa_2008
14,8488,Afonso Alves,MS,26,SC Heerenveen,Brasilien,fifa_2008
15,8487,Mahamadou Diarra,ZDM,26,Real Madrid C.F.,Mali,fifa_2008
16,8488,Edwin van der Sar,TW,36,Manchester United,Niederlande,fifa_2008
17,8484,Jermain Defoe,ST,24,Tottenham Hotspur,England,fifa_2008
18,8485,Diego ForlÃ¡n,ST,28,AtlÃ©tico Madrid,Uruguay,fifa_2008
19,8487,Lincoln,ZOM,28,Galatasaray SK,Brasilien,fifa_2008
20,8483,Predrag Djordjevic,LM,35,Olympiakos,Serbien,fifa_2008
21,8487,Xabi Alonso,ZM,25,Liverpool,Spanien,fifa_2008
22,8493,Ronaldo,ST,30,AC Milan,Brasilien,fifa_2008
23,8488,Christoph Metzelder,IV,26,Real Madrid C.F.,Deutschland,fifa_2008
24,8486,JosÃ© Reina,TW,24,Liverpool,Spanien,fifa_2008
25,8486,Maciej Å»urawski,ST,30,Celtic,Polen,fifa_2008
26,8485,Dirk Kuyt,ST,27,Liverpool,Niederlande,fifa_2008
27,8485,Andrew Johnson,ST,26,Everton,England,fifa_2008
28,8489,Pablo CÃ©sar Aimar,ZOM,27,Real Zaragoza,Argentinien,fifa_2008
29,8491,Roy Makaay,ST,32,Feyenoord,Niederlande,fifa_2008
30,8490,Ruud Van Nistelrooy,ST,31,Real Madrid C.F.,Niederlande,fifa_2008
1,8483,Guti,ZOM,30,Real Madrid C.F.,Spanien,fifa_2008
2,8490,HernÃ¡n Jorge Crespo,ST,32,Inter Milan,Argentinien,fifa_2008
3,8491,Pavel Nedved,ZOM,34,Juventus,Tschechische Repub.,fifa_2008
4,8486,CaÃ±izares,TW,37,Valencia C.F.,Spanien,fifa_2008
5,8489,Michael Owen,ST,27,Newcastle United,England,fifa_2008
6,8488,Gianluca Zambrotta,RV,30,F.C. Barcelona,Italien,fifa_2008
7,8488,Michael Ballack,ZM,30,Chelsea FC,Deutschland,fifa_2008
